region;x;y;local_a;export_Adria_a;export_Aegean_a;export_Baetica_a;export_East_a;export_Egypt_a;export_Gallia_a;export_Iberia_a;export_Italy_a;export_NA_a;export_Pontic_a;export_Tarraconensis_a;export_unknown_a;export_West_a;local_b;export_adria_b;export_aegean_b;export_Baetica_b;export_East_b;export_Egypt_b;export_Gallia_b;export_Iberia_b;export_Italy_b;export_NA_b;export_Pontic_b;export_Tarraconensis_b;export_unknown_b;export_West_b;local_c;export_adria_c;export_aegean_c;export_baetica_c;export_East_c;export_Egypt_c;export_Gallia_c;export_Iberia_c;export_Italy_c;export_NA_c;export_Pontic_c;export_Tarraconensis_c;export_unknown_c;export_West_c;local_d;export_adria_d;export_aegean_d;export_baetica_d;export_East_d;export_Egypt_d;export_Gallia_d;export_Iberia_d;export_Italy_d;export_NA_d;export_Pontic_d;export_Tarraconensis_d;export_unknown_d;export_West_d
Adriatic;44.898292;18.333991;49.54601845;0;0;0;3.987433461;0;0;0;46.46654809;0;0;0;0;0;67.51182334;0;0;0;0;0;0;0;32.48817666;0;0;0;0;0;45.34466948;0;0;0;5.229272801;0;0;0;49.42605772;0;0;0;0;0;62.86257459;0;37.13742541;0;0;0;0;0;0;0;0;0;0;0
Aegean;38.501019;25.045728;51.66530781;0;0;0;22.07765462;0;0.109010049;0;12.43816705;13.70986047;0;0;0;0;37.38135851;12.4086981;0;0;11.62799504;0;19.46048532;0;12.65168728;6.469775745;0;0;0;0;55.53390576;8.216157023;0;0;14.78924287;0;4.60832919;0;13.70982174;3.142543429;0;0;0;0;54.26167123;6.762007816;0;0;15.37577136;0;4.555821412;0;7.057532505;11.98719568;0;0;0;0
Baetica;36.867776;-3.836033;35.77303447;0;0;0;0;0;21.95540796;0;24.15838728;0;0;18.11317029;0;0;6.377435153;5.557973422;0;0;0;0;23.58946998;1.148341616;35.38200822;0;0;27.94477161;0;0;32.36176803;1.709297064;0;0;0;0;17.08952324;0;7.587613645;0;0;41.25179803;0;0;43.6477007;0;0;0;0;0;0;0;37.07388112;0;0;19.27841818;0;0
Eastern Mediterranean;33.281165;35.020028;33.7623103;24.80474714;5.840096029;4.422899393;0;0;15.45007421;0;15.71987292;0;0;0;0;0;30.99573383;27.48492797;6.174699161;0;0;0;17.95239931;0;10.7528851;6.639354629;0;0;0;0;78.15808935;6.48718598;0.865452918;0;0;0;6.364416584;0;4.986331423;3.138523748;0;0;0;0;72.04151157;10.99590196;1.106016647;0;0;0;9.012776088;0;0.595608081;2.022066556;0;4.226119103;0;0
Egypt;30.138194;30.133479;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;88.79501979;0;0;0;0;0;11.20498021;0;0;0;0;0;0;0;92.01838957;0;0;0;0;0;7.98161043;0;0;0;0;0
Gallia;45.095018;6.396207;75.66396807;0;0;0;0;0;0;0;14.89355495;0.454874302;0;8.987602671;0;0;77.6005816;0;0.039662103;0;0.750513498;0;0;0;15.73221693;0.103313925;0;5.773711938;0;0;88.44987067;0;0.38628201;0;2.746714022;0;0;0;5.036393145;0;0;3.38074015;0;0;88.69097216;0;0.605672664;0;3.044967999;0;0;0;7.658387177;0;0;0;0;0
Iberian Peninsula;42.10275;-6.418922;0;0.752360911;5.487731079;0;10.39010418;0;55.70033292;0;23.73977287;3.929698043;0;0;0;0;21.26070516;0.342087352;3.824836291;0;5.319210242;0;41.21532612;0;19.5809201;8.456914734;0;0;0;0;13.66774575;1.761722789;2.254939764;0;4.952494478;0;52.65224942;0;17.52273431;7.188113495;0;0;0;0;0;0.088486651;3.601267892;0;5.59216892;0;63.95810888;0;20.35401027;6.405957391;0;0;0;0
Italy;41.395552;10.963839;29.26723414;9.914637279;7.031794164;3.571429695;2.271502797;0;27.96634455;0;0;19.97705738;0;0;0;0;30.29441039;2.685272256;7.479823676;4.702078616;11.11078794;0;10.50462623;8.461150831;0;24.11673396;0;0.6451161;0;0;42.31803776;4.132072825;13.25757192;4.413397963;4.96527132;0;7.27100111;0.868209435;0;22.0068902;0;0.767547472;0;0;40.35960579;10.11709138;3.473406014;8.55336864;0.71278072;0;7.62287759;0;0;29.16086987;0;0;0;0
North Africa;32.340901;13.592608;71.81054821;6.230443444;0.929896508;5.679367918;0.68152415;0;2.025561;0;12.64265877;0;0;0;0;0;77.07886038;6.178707369;0.615006505;0;0.671465689;0;1.98839209;0;13.46756797;0;0;0;0;0;61.09488793;0.796738958;3.635128499;0;0;0;4.165319255;0;30.30792536;0;0;0;0;0;61.68020133;9.135650651;5.221106893;0;0.580655535;0;4.687149124;0;15.82099157;0;0;2.874244897;0;0
Pontic Sea;43.490369;34.330987;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0;0;0;0;0;0;0
Tarraconensis;40.351786;2.695883;35.78768054;0;0;19.27668609;0;0;38.32328175;0;6.612351624;0;0;0;0;0;39.62122065;0;0;0;0;0;50.07476131;6.364948171;3.939069868;0;0;0;0;0;59.84720198;0;0;0;0;0;32.022047;6.501609604;1.629141414;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;0;0;0;0
unknown;51.415688;18.886592;0;3.900517016;19.65917518;4.199047125;10.48489343;0;18.3781423;0;33.56768648;4.265642904;0;5.544895564;0;0;0;2.586326207;25.90101865;2.553621558;4.31776947;0;14.00557097;0;28.306609;12.85803162;0;9.471052529;0;0;0;10.87109004;18.03890431;0;5.612042428;0;7.506223166;9.660178263;25.86522027;13.65145396;0;8.794887571;0;0;0;7.817336919;13.56854171;11.63017861;25.03715613;0;9.77607922;0;16.46586756;15.70483986;0;0;0;0
Western Mediterranean;34.467393;3.364308;0;0;0;81.15551276;0;0;0;0;14.87722677;3.967260472;0;0;0;0;0;0;0;57.81601862;0;0;0.400091357;0;14.95423433;26.8296557;0;0;0;0;0;0;0;55.8789404;0;0;0;0;0.167502819;43.95355678;0;0;0;0;0;0;0;0;29.05494093;0;0;0;0.420793374;6.603395664;0;63.92087004;0;0
